Datum,Stanica,PM10,PM2.5,O3,SO2,CO,NO2,NOx,Benzén,Hg
2023-06-26 04:06:06.913290,Topoľníky Aszód EMEP,11,6,56,4,x,3,4,x,PDL
2023-06-26 04:06:06.913290,Strážske Mierová,17,12,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Stará Lesná AÚ SAV EMEP,19,14,*,x,x,2,3,x,x
2023-06-26 04:06:06.913290,Starina Vodná nádrž EMEP,x,x,30,x,x,*,*,x,1.3
2023-06-26 04:06:06.913290,Sereď Vinárska,9,8,x,x,x,6,8,x,x
2023-06-26 04:06:06.913290,Senica Hviezdoslavova,*,*,x,14,x,x,x,x,x
2023-06-26 04:06:06.913290,Senec Boldocká,10,7,56,x,*,9,10,x,x
2023-06-26 04:06:06.913290,Ružomberok Riadok,12,9,51,3,160,7,8,0.2,x
2023-06-26 04:06:06.913290,Rovinka mobilná AMS,13,x,x,3,135,11,13,0.4,x
2023-06-26 04:06:06.913290,Rohožník Senická,13,9,x,10,*,*,*,0.1,x
2023-06-26 04:06:06.913290,Púchov 1. mája,13,10,x,1,212,3,5,x,x
2023-06-26 04:06:06.913290,Prievidza Malonecpalská,15,9,50,*,x,7,8,x,x
2023-06-26 04:06:06.913290,Prešov Arm. gen. L. Svobodu,13,12,x,x,52,13,20,0.1,x
2023-06-26 04:06:06.913290,Poprad Železničná,23,19,x,x,x,11,10,x,x
2023-06-26 04:06:06.913290,Plášťovce,10,6,30,x,x,4,5,x,x
2023-06-26 04:06:06.913290,Pezinok Obrancov mieru,4,4,51,x,x,PDL,2,x,x
2023-06-26 04:06:06.913290,Oščadnica,9,8,32,PDL,x,2,3,x,x
2023-06-26 04:06:06.913290,Nitra Štúrova,*,11,x,5,137,9,12,*,x
2023-06-26 04:06:06.913290,Nitra Janíkovce,13,11,65,x,x,*,*,x,x
2023-06-26 04:06:06.913290,Martin Jesenského,26,19,x,x,212,6,7,0.2,x
2023-06-26 04:06:06.913290,Lučenec Gemerská cesta,17,7,26,x,171,5,8,PDL,x
2023-06-26 04:06:06.913290,Liptovský Mikuláš Školská,18,11,x,2,x,4,8,x,x
2023-06-26 04:06:06.913290,Krompachy SNP,18,11,x,PDL,458,2,4,0.4,x
2023-06-26 04:06:06.913290,Košice Štefánikova,16,17,x,3,313,7,8,0.2,x
2023-06-26 04:06:06.913290,Košice Ďumbierska,x,x,80,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Košice Amurská,14,9,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Komárno Vnútorná okružná,8,4,53,x,x,6,9,x,x
2023-06-26 04:06:06.913290,Kolonické sedlo,18,6,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Kojšovská hoľa,x,x,94,x,x,1,2,x,x
2023-06-26 04:06:06.913290,Jelšava Jesenského,34,7,43,x,x,3,4,x,x
2023-06-26 04:06:06.913290,Humenné Nám. slobody,22,13,32,x,x,4,6,x,x
2023-06-26 04:06:06.913290,Hnúšťa Hlavná,21,9,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Handlová Morovianska cesta,13,1,x,5,x,x,x,x,x
2023-06-26 04:06:06.913290,Gánovce Meteo. st,x,x,17,x,x,7,10,x,x
2023-06-26 04:06:06.913290,Chopok EMEP,x,x,112,x,x,2,3,x,x
2023-06-26 04:06:06.913290,Bystričany Rozvodňa SSE,15,12,x,32,x,x,x,x,x
2023-06-26 04:06:06.913290,Bratislava Trnavské Mýto,10,8,x,x,179,11,13,1.4,x
2023-06-26 04:06:06.913290,Bratislava Púchovská,10,5,x,5,157,6,8,0.7,x
2023-06-26 04:06:06.913290,Bratislava Padlých hrdinov mobilná AMS,15,6,x,x,162,16,18,x,x
2023-06-26 04:06:06.913290,Bratislava Mamateyova,13,8,51,6,x,16,17,x,x
2023-06-26 04:06:06.913290,Bratislava Kamenné nám.,15,7,x,x,x,x,x,x,x
2023-06-26 04:06:06.913290,Bratislava Jeséniova,9,8,96,1,x,PDL,PDL,x,x
2023-06-26 04:06:06.913290,Bardejov Pod Vinbargom,20,13,61,x,x,2,PDL,x,x
2023-06-26 04:06:06.913290,Banská Bystrica Štefánikovo nábrežie,19,12,x,7,499,6,9,0.5,x
2023-06-26 04:06:06.913290,Banská Bystrica Zelená,16,12,*,x,x,5,6,x,x
2023-06-26 03:06:01.933455,Žilina Obežná,10,8,35,x,458,7,8,x,x
2023-06-26 03:06:01.933455,Žiar nad Hronom Jilemnického,15,11,x,x,x,x,x,x,x
2023-06-26 03:06:01.933455,Žarnovica Dolná,13,*,x,x,x,3,5,x,x
2023-06-26 03:06:01.933455,Zvolen J. Alexyho,15,12,x,x,x,x,x,x,x
2023-06-26 03:06:01.933455,Vranov nad Top. M. R. Štefánika,17,13,x,4,x,x,x,x,x
2023-06-26 03:06:01.933455,Veľká Ida Letná,25,18,x,x,355,x,x,x,x
2023-06-26 03:06:01.933455,Trnava Kollárova,13,7,x,x,483,12,15,0.2,x
2023-06-26 03:06:01.933455,Trenčín Hasičská,15,8,x,4,182,11,13,0.1,x
2023-06-26 03:06:01.933455,Trebišov T. G. Masaryka,16,10,65,x,x,2,4,x,x
2023-06-26 03:06:01.933455,Topoľníky Aszód EMEP,12,7,65,4,x,3,4,x,PDL
2023-06-26 03:06:01.933455,Strážske Mierová,16,11,x,x,x,x,x,x,x
2023-06-26 03:06:01.933455,Stará Lesná AÚ SAV EMEP,19,14,*,x,x,3,3,x,x
2023-06-26 03:06:01.933455,Starina Vodná nádrž EMEP,x,x,37,x,x,1,PDL,x,1.2
